0.042,-0.054,1.021
0.042,-0.055,1.023
0.043,-0.057,1.028
0.043,-0.059,1.032
0.044,-0.057,1.026
0.043,-0.059,1.021
0.042,-0.058,1.024
0.042,-0.057,1.025
0.042,-0.057,1.027
0.046,-0.057,1.026
0.048,-0.056,1.024
0.046,-0.059,1.026
0.047,-0.058,1.025
0.046,-0.059,1.023
0.050,-0.061,1.026
0.051,-0.060,1.025
0.050,-0.060,1.024
0.044,-0.060,1.025
0.046,-0.060,1.017
0.046,-0.061,1.021
0.047,-0.057,1.026
0.045,-0.057,1.026
0.045,-0.059,1.027
0.044,-0.058,1.025
0.044,-0.055,1.022
0.044,-0.055,1.024
0.042,-0.057,1.025
0.042,-0.061,1.027
0.042,-0.058,1.028
0.042,-0.055,1.028
0.042,-0.057,1.025
0.042,-0.057,1.026
0.041,-0.055,1.027
0.042,-0.055,1.025
0.042,-0.056,1.029
0.042,-0.054,1.029
0.040,-0.054,1.026
0.043,-0.054,1.027
0.046,-0.048,1.024
0.096,0.008,1.027
0.089,-0.103,1.029
0.113,-0.162,1.012
0.612,-0.113,0.990
0.114,0.072,1.101
-0.163,-0.038,1.013
0.026,-0.071,1.042
-0.159,-0.005,1.049
0.130,0.041,1.081
0.021,-0.059,1.101
0.207,0.004,1.190
0.121,0.035,1.133
0.023,-0.004,1.195
0.108,-0.083,1.281
0.088,-0.141,1.385
0.052,-0.159,1.407
-0.078,-0.167,1.303
-0.141,-0.151,1.188
-0.228,-0.263,1.058
-0.353,-0.302,0.827
-0.522,-0.120,0.861
-0.679,-0.092,0.667
-0.942,-0.006,0.737
0.459,-0.337,1.032
0.735,-2.232,-2.739
-1.144,-1.097,-1.731
-0.767,-0.682,0.136
-0.587,-0.774,0.266
-0.713,-0.890,0.048
-0.611,-1.166,0.218
-0.582,-1.186,0.308
-0.575,-1.165,0.387
-0.472,-1.066,0.564
-0.389,-0.958,0.635
-0.505,-0.760,0.462
-0.681,-0.159,0.092
-0.354,0.229,0.917
0.682,0.306,2.625
-0.197,-1.371,0.637
-0.452,-1.115,1.161
-0.208,-0.974,1.123
-0.177,-0.775,1.039
-0.112,-0.762,0.816
-0.134,-0.845,0.657
-0.054,-0.624,0.497
-0.003,-0.452,0.479
-0.087,-0.609,0.456
0.007,-0.645,0.502
0.033,-0.688,0.530
-0.065,-0.843,0.524
-0.147,-0.940,0.655
-0.149,-1.018,0.777
-0.111,-1.080,0.696
0.034,-1.042,0.610
0.167,-0.965,0.595
0.272,-0.920,0.512
0.435,-1.009,0.418
0.524,-1.071,0.368
0.490,-1.037,0.201
0.376,-0.969,-0.002
0.283,-0.845,-0.097
0.226,-0.736,-0.125
0.216,-0.683,-0.082
0.288,-0.690,0.008
0.302,-0.833,0.047
0.509,-0.748,0.008
0.722,-0.651,-0.142
0.774,-0.743,-0.219
0.805,-0.805,-0.153
0.742,-0.788,0.024
0.578,-0.861,-0.163
0.426,-0.861,-0.495
0.318,-0.806,-0.548
0.158,-0.774,-0.530
0.040,-0.653,-0.625
-0.119,-0.658,-0.531
-0.282,-0.623,-0.428
-0.364,-0.582,-0.390
-0.487,-0.631,-0.456
-0.582,-0.665,-0.412
-0.572,-0.720,-0.326
-0.525,-0.791,-0.342
-0.543,-0.757,-0.312
-0.629,-0.671,-0.231
-0.748,-0.682,-0.177
-0.892,-0.772,-0.154
-1.004,-0.852,-0.175
-1.055,-0.875,-0.282
-1.103,-0.783,-0.390
-1.105,-0.754,-0.355
-1.093,-0.813,-0.249
-1.134,-0.917,-0.179
-1.173,-1.016,-0.137
-1.116,-1.018,-0.155
-1.002,-0.968,-0.119
-0.817,-0.794,-0.048
-0.558,-0.736,0.074
-0.404,-0.624,0.032
-0.377,-0.559,-0.196
-0.342,-0.576,-0.118
-0.222,-0.656,0.109
0.000,-0.722,0.384
0.185,-0.730,0.483
0.275,-0.819,0.373
0.338,-0.798,0.297
0.424,-0.720,0.376
0.482,-0.699,0.442
0.542,-0.702,0.430
0.602,-0.640,0.445
0.641,-0.566,0.495
0.672,-0.528,0.533
0.651,-0.442,0.518
0.633,-0.341,0.531
0.643,-0.330,0.521
0.582,-0.295,0.519
0.545,-0.235,0.567
0.542,-0.293,0.613
0.604,-0.418,0.676
0.750,-0.663,0.645
0.824,-0.930,0.582
0.790,-1.148,0.477
0.749,-1.281,0.388
0.653,-1.392,0.352
0.518,-1.453,0.309
0.378,-1.427,0.359
0.217,-1.260,0.305
0.165,-1.082,0.284
0.068,-1.021,0.307
-0.035,-0.920,0.351
-0.124,-0.701,0.522
-0.223,-0.664,0.564
-0.304,-0.789,0.513
-0.335,-0.824,0.462
-0.384,-0.819,0.468
-0.428,-0.814,0.467
-0.450,-0.827,0.463
-0.476,-0.858,0.497
-0.494,-0.857,0.478
-0.494,-0.862,0.458
-0.505,-0.868,0.418
-0.492,-0.838,0.379
-0.458,-0.811,0.365
-0.418,-0.793,0.363
-0.382,-0.793,0.367
-0.359,-0.800,0.410
-0.381,-0.809,0.476
-0.439,-0.855,0.492
-0.476,-0.907,0.516
-0.508,-0.922,0.523
-0.545,-0.907,0.471
-0.559,-0.896,0.445
-0.557,-0.880,0.417
-0.565,-0.848,0.359
-0.556,-0.819,0.329
-0.542,-0.795,0.320
-0.536,-0.787,0.304
-0.526,-0.777,0.292
-0.502,-0.755,0.318
-0.486,-0.753,0.354
-0.483,-0.763,0.377
-0.472,-0.762,0.402
-0.456,-0.761,0.437
-0.441,-0.764,0.461
-0.435,-0.756,0.480
-0.432,-0.745,0.491
-0.426,-0.746,0.496
-0.427,-0.751,0.506
-0.424,-0.753,0.517
-0.415,-0.752,0.531
-0.409,-0.746,0.557
-0.403,-0.750,0.573
-0.396,-0.750,0.583
-0.398,-0.750,0.591
-0.412,-0.750,0.588
-0.426,-0.756,0.565
-0.425,-0.759,0.561
-0.421,-0.754,0.564
-0.411,-0.746,0.553
-0.407,-0.740,0.538
-0.406,-0.738,0.535
-0.413,-0.744,0.532
-0.417,-0.748,0.523
-0.429,-0.755,0.524
-0.440,-0.770,0.519
-0.437,-0.772,0.524
-0.427,-0.762,0.537
-0.422,-0.759,0.550
-0.418,-0.761,0.557
-0.422,-0.768,0.569
-0.426,-0.781,0.576
-0.425,-0.776,0.571
-0.413,-0.757,0.567
-0.396,-0.742,0.578
-0.374,-0.732,0.586
-0.357,-0.719,0.590
-0.338,-0.707,0.598
-0.323,-0.691,0.595
-0.302,-0.675,0.596
-0.287,-0.666,0.606
-0.271,-0.658,0.610
-0.258,-0.652,0.616
-0.250,-0.652,0.635
-0.251,-0.658,0.655
-0.252,-0.667,0.668
-0.248,-0.657,0.677
-0.246,-0.642,0.692
-0.252,-0.641,0.709
-0.269,-0.648,0.715
-0.288,-0.664,0.721
-0.314,-0.688,0.715
-0.347,-0.701,0.691
-0.374,-0.709,0.675
-0.405,-0.726,0.661
-0.441,-0.743,0.640
-0.470,-0.760,0.625
-0.491,-0.774,0.607
-0.502,-0.775,0.597
-0.509,-0.773,0.586
-0.508,-0.773,0.582
-0.506,-0.768,0.578
-0.495,-0.756,0.589
-0.474,-0.750,0.614
-0.454,-0.738,0.636
-0.433,-0.719,0.648
-0.416,-0.701,0.645
-0.404,-0.699,0.642
-0.401,-0.705,0.644
-0.406,-0.711,0.651
-0.419,-0.724,0.660
-0.454,-0.764,0.648
-0.489,-0.804,0.641
-0.514,-0.848,0.615
-0.551,-0.917,0.546
-0.546,-0.939,0.422
-0.515,-0.948,0.236
-0.498,-0.940,0.080
-0.466,-0.815,0.020
-0.465,-0.797,0.132
-0.520,-0.906,0.316
-0.504,-0.942,0.194
-0.440,-0.942,0.037
-0.388,-0.799,-0.020
-0.348,-0.671,-0.019
-0.252,-0.765,-0.033
-0.177,-1.073,-0.073
-0.182,-1.217,-0.075
-0.260,-1.281,-0.113
-0.160,-1.281,-0.033
-0.060,-1.165,-0.054
-0.356,-1.190,-0.328
-0.364,-1.188,-0.259
-0.417,-1.156,-0.229
-0.510,-1.123,-0.210
-0.564,-1.028,-0.196
-0.618,-0.974,-0.225
-0.621,-0.990,-0.188
-0.634,-1.047,-0.147
-0.680,-1.069,-0.152
-0.650,-1.050,-0.095
-0.636,-1.057,-0.062
-0.597,-1.066,-0.024
-0.524,-1.034,0.055
-0.431,-0.953,0.204
-0.332,-0.915,0.328
-0.266,-0.944,0.411
-0.231,-0.966,0.460
-0.190,-0.925,0.512
-0.130,-0.879,0.572
-0.070,-0.843,0.594
-0.019,-0.772,0.604
0.032,-0.734,0.649
0.084,-0.726,0.678
0.128,-0.695,0.689
0.181,-0.687,0.659
0.225,-0.713,0.639
0.238,-0.689,0.683
0.263,-0.671,0.768
0.297,-0.661,0.829
0.315,-0.648,0.848
0.336,-0.615,0.810
0.339,-0.570,0.770
0.345,-0.537,0.759
0.363,-0.492,0.771
0.375,-0.470,0.782
0.382,-0.463,0.768
0.394,-0.438,0.757
0.400,-0.438,0.785
0.405,-0.437,0.816
0.422,-0.458,0.854
0.426,-0.501,0.881
0.415,-0.533,0.890
0.397,-0.568,0.888
0.378,-0.600,0.852
0.367,-0.612,0.817
0.357,-0.612,0.815
0.345,-0.628,0.806
0.336,-0.637,0.783
0.332,-0.629,0.777
0.329,-0.642,0.774
0.323,-0.655,0.774
0.323,-0.671,0.789
0.319,-0.693,0.802
0.315,-0.707,0.792
0.312,-0.699,0.792
0.305,-0.686,0.797
0.299,-0.686,0.797
0.293,-0.691,0.790
0.281,-0.693,0.775
0.282,-0.701,0.762
0.264,-0.727,0.710
0.223,-0.763,0.625
0.207,-0.770,0.502
0.220,-0.689,0.423
0.218,-0.674,0.349
0.217,-0.715,0.312
0.231,-0.690,0.325
0.244,-0.610,0.416
0.283,-0.579,0.543
0.269,-0.595,0.495
0.305,-0.612,0.561
0.342,-0.703,0.616
0.366,-0.849,0.664
0.380,-1.016,0.633
0.346,-1.152,0.482
0.257,-1.262,0.325
0.137,-1.413,0.159
0.020,-1.545,-0.006
-0.039,-1.604,-0.077
-0.065,-1.610,-0.076
-0.108,-1.578,-0.086
-0.206,-1.450,-0.097
-0.269,-1.374,-0.070
-0.221,-1.373,-0.048
-0.142,-1.334,-0.124
-0.014,-1.304,-0.111
0.080,-1.153,-0.051
0.079,-1.062,0.114
0.126,-0.974,0.271
0.190,-0.815,0.333
0.234,-0.694,0.428
0.279,-0.620,0.527
0.303,-0.585,0.597
0.317,-0.561,0.661
0.337,-0.581,0.721
0.347,-0.646,0.757
0.354,-0.670,0.739
0.396,-0.630,0.732
0.467,-0.637,0.725
0.493,-0.620,0.703
0.520,-0.573,0.745
0.515,-0.641,0.809
0.572,-0.549,0.798
0.622,-0.429,0.806
0.689,-0.409,0.790
0.706,-0.382,0.818
0.755,-0.329,0.807
0.756,-0.297,0.734
0.750,-0.280,0.646
0.708,-0.268,0.612
0.674,-0.248,0.551
0.667,-0.223,0.499
0.647,-0.169,0.429
0.599,-0.167,0.382
0.604,-0.187,0.388
0.669,-0.240,0.413
0.732,-0.260,0.428
0.818,-0.322,0.406
0.951,-0.395,0.387
1.058,-0.479,0.377
1.126,-0.547,0.355
1.137,-0.619,0.332
1.119,-0.696,0.301
1.095,-0.744,0.272
1.057,-0.734,0.208
1.041,-0.718,0.134
0.980,-0.760,0.115
0.989,-0.924,0.151
0.999,-1.023,0.139
0.931,-1.091,0.068
0.822,-1.058,-0.018
0.676,-0.990,-0.084
0.490,-0.944,-0.078
0.277,-0.920,0.083
0.108,-0.934,0.299
0.011,-0.866,0.064
-0.086,-0.901,0.017
-0.178,-0.922,0.200
-0.262,-0.920,0.252
-0.297,-0.954,0.233
-0.378,-1.009,0.280
-0.437,-1.024,0.289
-0.431,-1.004,0.279
-0.421,-0.968,0.265
-0.396,-0.927,0.309
-0.358,-0.900,0.333
